Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Data,Chrome 86.0.4240.75,,,2020-10-13 00:20:04,2020-10-13 00:21:07,1m - 3.654s,FAILED
,,,,,,,
Test Cases/data_driven/TC_data2,Chrome 86.0.4240.75,,,2020-10-13 00:20:05,2020-10-13 00:20:23,18.439s,PASSED
"openBrowser("""")",Chrome 86.0.4240.75,,,2020-10-13 00:20:06,2020-10-13 00:20:14,8.530s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 86.0.4240.75,,,2020-10-13 00:20:14,2020-10-13 00:20:18,3.680s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 86.0.4240.75,,,2020-10-13 00:20:18,2020-10-13 00:20:19,1.142s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 86.0.4240.75,,,2020-10-13 00:20:19,2020-10-13 00:20:20,0.861s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 86.0.4240.75,,,2020-10-13 00:20:20,2020-10-13 00:20:21,0.849s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 86.0.4240.75,,,2020-10-13 00:20:21,2020-10-13 00:20:22,1.201s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 86.0.4240.75,,,2020-10-13 00:20:22,2020-10-13 00:20:22,0.444s,PASSED
closeBrowser(),Chrome 86.0.4240.75,,,2020-10-13 00:20:22,2020-10-13 00:20:23,0.821s,PASSED
,,,,,,,
Test Cases/data_driven/TC_data2,Chrome 86.0.4240.75,,,2020-10-13 00:20:23,2020-10-13 00:21:07,44.116s,FAILED
"openBrowser("""")",Chrome 86.0.4240.75,,,2020-10-13 00:20:23,2020-10-13 00:20:28,5.171s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 86.0.4240.75,,,2020-10-13 00:20:28,2020-10-13 00:20:32,3.323s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 86.0.4240.75,,,2020-10-13 00:20:32,2020-10-13 00:20:33,0.983s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 86.0.4240.75,,,2020-10-13 00:20:33,2020-10-13 00:20:34,0.854s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 86.0.4240.75,,,2020-10-13 00:20:34,2020-10-13 00:20:34,0.829s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 86.0.4240.75,,,2020-10-13 00:20:34,2020-10-13 00:20:36,1.200s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 86.0.4240.75,,,2020-10-13 00:20:36,2020-10-13 00:21:07,31.708s,FAILED
